age_group,gender,height,weight,bmi,exercise_days,exercise_time,days_per_week,minutes_per_day,total_minutes_per_week,target_weight,weight_loss
30-39,male,168.0,60.6,21.5,5日/週,180分以上,5,210,1050,45.0,15.6
50-59,male,169.1,63.3,22.2,1日/週,30〜60分,1,45,45,62.2,1.2
70,female,157.2,65.2,26.4,4日/週,30〜60分,4,45,180,62.2,2.9
60-69,female,163.1,45.5,17.1,運動なし,0分,0,0,0,45.4,0.2
50-59,female,161.1,65.9,25.4,5日/週,60〜120分,5,90,450,57.6,8.3
20-29,female,162.2,76.2,29.0,4日/週,60〜120分,4,90,360,69.1,7.1
30-39,female,173.5,65.2,21.7,運動なし,0分,0,0,0,64.7,0.5
50-59,male,167.5,71.4,25.4,3日/週,30〜60分,3,45,135,69.0,2.3
70,female,161.3,57.2,22.0,4日/週,30分未満,4,15,60,55.9,1.3
60-69,female,168.2,47.2,16.7,3日/週,120〜180分,3,150,450,45.0,2.2
60-69,female,163.8,71.3,26.6,6日/週,120〜180分,6,150,900,54.3,17.0
40-49,female,162.9,47.1,17.8,5日/週,30分未満,5,15,75,46.2,0.9
60-69,male,170.8,65.8,22.6,運動なし,0分,0,0,0,66.1,-0.3
20-29,female,163.5,49.3,18.4,運動なし,0分,0,0,0,49.2,0.1
60-69,male,168.3,70.7,25.0,運動なし,0分,0,0,0,70.7,-0.0
30-39,male,167.6,71.7,25.5,1日/週,180分以上,1,210,210,66.3,5.4
20-29,male,168.3,68.8,24.3,2日/週,180分以上,2,210,420,59.8,9.1
30-39,male,175.4,56.9,18.5,運動なし,0分,0,0,0,57.3,-0.4
50-59,male,175.7,60.7,19.7,3日/週,180分以上,3,210,630,48.1,12.7
30-39,female,163.1,61.7,23.2,運動なし,0分,0,0,0,61.4,0.2
30-39,male,173.6,85.2,28.3,3日/週,180分以上,3,210,630,72.3,12.9
50-59,male,175.8,69.1,22.4,6日/週,30分未満,6,15,90,67.7,1.4
40-49,female,161.4,70.7,27.2,3日/週,120〜180分,3,150,450,62.1,8.6
40-49,male,178.7,74.2,23.2,4日/週,30分未満,4,15,60,73.7,0.5
30-39,male,175.7,83.0,26.9,3日/週,120〜180分,3,150,450,73.9,9.0
50-59,male,169.7,84.5,29.3,運動なし,0分,0,0,0,84.4,0.1
70,male,176.5,85.6,27.5,6日/週,180分以上,6,210,1260,61.5,24.1
70,female,173.3,69.9,23.3,1日/週,60〜120分,1,90,90,68.1,1.8
20-29,male,177.9,89.7,28.3,4日/週,30分未満,4,15,60,87.9,1.8
50-59,female,167.3,69.4,24.8,5日/週,30〜60分,5,45,225,65.2,4.2
60-69,female,171.3,74.0,25.2,4日/週,30分未満,4,15,60,73.3,0.7
40-49,male,174.0,73.8,24.4,7日/週,30分未満,7,15,105,72.0,1.8
20-29,male,179.0,69.0,21.6,運動なし,0分,0,0,0,69.1,-0.0
30-39,female,160.1,75.4,29.4,4日/週,120〜180分,4,150,600,62.6,12.8
50-59,female,155.0,63.9,26.6,4日/週,30分未満,4,15,60,62.5,1.4
30-39,male,184.3,68.6,20.2,6日/週,120〜180分,6,150,900,50.7,18.0
20-29,female,165.7,63.1,23.0,2日/週,60〜120分,2,90,180,59.1,4.0
40-49,male,170.8,73.2,25.1,1日/週,60〜120分,1,90,90,71.7,1.5
20-29,male,178.0,73.3,23.1,1日/週,120〜180分,1,150,150,69.5,3.8
40-49,male,172.1,73.5,24.8,5日/週,180分以上,5,210,1050,52.8,20.7
60-69,female,161.3,66.1,25.4,5日/週,30〜60分,5,45,225,62.6,3.5
50-59,female,159.9,49.9,19.5,2日/週,30分未満,2,15,30,49.5,0.5
30-39,male,169.4,79.5,27.7,7日/週,30〜60分,7,45,315,73.8,5.7
40-49,female,168.7,44.0,15.5,4日/週,30分未満,4,15,60,45.0,-1.0
20-29,male,170.5,62.1,21.4,4日/週,30〜60分,4,45,180,58.7,3.4
70,female,161.9,48.9,18.7,7日/週,120〜180分,7,150,1050,45.0,3.9
60-69,male,168.9,64.0,22.5,4日/週,30〜60分,4,45,180,60.5,3.6
20-29,male,179.9,73.8,22.8,3日/週,180分以上,3,210,630,60.6,13.2
60-69,male,170.6,64.4,22.1,7日/週,120〜180分,7,150,1050,45.0,19.4
20-29,male,165.4,55.3,20.2,6日/週,60〜120分,6,90,540,45.0,10.3
50-59,female,166.1,62.0,22.5,5日/週,30〜60分,5,45,225,57.6,4.5
30-39,female,169.8,54.0,18.7,6日/週,60〜120分,6,90,540,45.0,9.0
50-59,male,177.1,82.9,26.4,6日/週,30〜60分,6,45,270,77.7,5.2
60-69,female,175.0,62.0,20.2,2日/週,30〜60分,2,45,90,59.8,2.2
70,female,166.8,75.1,27.0,6日/週,30〜60分,6,45,270,70.7,4.3
30-39,male,171.5,73.7,25.1,5日/週,30分未満,5,15,75,72.2,1.5
50-59,male,165.8,84.0,30.5,6日/週,30〜60分,6,45,270,78.8,5.1
30-39,male,167.1,75.2,26.9,7日/週,30分未満,7,15,105,73.3,1.9
50-59,male,173.5,71.5,23.8,2日/週,120〜180分,2,150,300,65.2,6.3
50-59,male,170.3,88.5,30.5,2日/週,120〜180分,2,150,300,82.2,6.4
50-59,male,168.9,71.9,25.2,1日/週,60〜120分,1,90,90,69.5,2.4
50-59,female,168.7,57.6,20.2,3日/週,60〜120分,3,90,270,52.5,5.1
20-29,female,160.0,63.4,24.8,3日/週,120〜180分,3,150,450,53.5,9.9
30-39,male,167.8,69.3,24.6,7日/週,30分未満,7,15,105,68.3,1.0
30-39,female,161.7,60.1,23.0,運動なし,0分,0,0,0,60.2,-0.1
40-49,male,164.7,75.8,27.9,4日/週,60〜120分,4,90,360,69.3,6.5
40-49,female,165.4,68.4,25.0,2日/週,30分未満,2,15,30,67.6,0.9
40-49,male,173.1,69.4,23.2,5日/週,120〜180分,5,150,750,54.4,15.0
50-59,male,167.7,55.4,19.7,4日/週,180分以上,4,210,840,45.0,10.4
60-69,female,167.0,81.5,29.2,5日/週,30〜60分,5,45,225,76.4,5.0
20-29,female,159.5,53.8,21.2,4日/週,30〜60分,4,45,180,49.6,4.2
40-49,female,163.6,74.5,27.8,4日/週,30〜60分,4,45,180,70.3,4.1
70,male,171.5,72.7,24.7,7日/週,30分未満,7,15,105,70.9,1.9
70,male,173.5,72.2,24.0,5日/週,180分以上,5,210,1050,52.2,20.0
40-49,male,176.7,77.0,24.7,1日/週,60〜120分,1,90,90,74.8,2.2
60-69,male,174.9,58.0,19.0,1日/週,120〜180分,1,150,150,54.5,3.5
40-49,male,173.1,67.6,22.6,6日/週,60〜120分,6,90,540,57.4,10.3
70,male,160.8,80.0,30.9,1日/週,30分未満,1,15,15,79.5,0.5
40-49,male,175.0,80.0,26.1,4日/週,30〜60分,4,45,180,77.2,2.7
30-39,female,168.2,50.8,17.9,2日/週,60〜120分,2,90,180,46.2,4.6
20-29,male,171.4,65.6,22.3,4日/週,60〜120分,4,90,360,58.7,6.9
70,male,170.8,66.9,22.9,運動なし,0分,0,0,0,66.4,0.6
40-49,male,176.3,74.1,23.8,運動なし,0分,0,0,0,73.7,0.4
50-59,male,177.8,82.0,26.0,6日/週,60〜120分,6,90,540,70.5,11.5
50-59,male,173.8,66.9,22.1,6日/週,120〜180分,6,150,900,49.6,17.3
30-39,male,167.8,62.4,22.2,7日/週,120〜180分,7,150,1050,45.0,17.4
40-49,male,174.4,66.0,21.7,4日/週,180分以上,4,210,840,49.7,16.3
40-49,female,162.2,60.7,23.1,4日/週,180分以上,4,210,840,45.0,15.7
70,female,163.9,54.6,20.3,7日/週,60〜120分,7,90,630,45.0,9.6
70,male,169.0,77.4,27.1,5日/週,30分未満,5,15,75,77.0,0.3
20-29,female,163.0,70.6,26.6,5日/週,120〜180分,5,150,750,55.3,15.3
40-49,male,173.6,78.4,26.0,7日/週,30〜60分,7,45,315,71.5,6.9
30-39,male,173.3,67.1,22.3,5日/週,30〜60分,5,45,225,63.1,4.0
30-39,female,169.3,47.6,16.6,4日/週,30分未満,4,15,60,46.9,0.7
70,female,162.1,62.1,23.6,1日/週,60〜120分,1,90,90,60.9,1.2
50-59,female,169.4,56.5,19.7,1日/週,60〜120分,1,90,90,54.6,1.9
50-59,male,178.2,53.3,16.8,5日/週,120〜180分,5,150,750,45.0,8.3
60-69,female,160.6,30.7,11.9,2日/週,180分以上,2,210,420,45.0,-14.3
50-59,male,167.7,99.6,35.4,2日/週,30〜60分,2,45,90,97.4,2.2
40-49,female,161.9,56.9,21.7,運動なし,0分,0,0,0,56.3,0.6
60-69,female,171.2,78.4,26.7,3日/週,120〜180分,3,150,450,69.6,8.8
40-49,female,157.6,40.4,16.3,2日/週,120〜180分,2,150,300,45.0,-4.6
20-29,male,165.7,71.4,26.0,3日/週,180分以上,3,210,630,57.7,13.8
30-39,male,168.4,53.8,19.0,4日/週,60〜120分,4,90,360,47.2,6.6
50-59,male,165.2,60.2,22.1,2日/週,60〜120分,2,90,180,57.0,3.3
70,male,172.9,68.9,23.1,7日/週,120〜180分,7,150,1050,48.5,20.4
70,male,170.3,69.3,23.9,2日/週,120〜180分,2,150,300,64.1,5.2
50-59,male,170.7,77.5,26.6,1日/週,60〜120分,1,90,90,75.0,2.5
70,male,175.1,67.4,22.0,5日/週,60〜120分,5,90,450,58.8,8.6
20-29,male,160.8,66.6,25.8,2日/週,30分未満,2,15,30,65.1,1.5
30-39,male,164.2,62.9,23.3,7日/週,30分未満,7,15,105,61.1,1.8
40-49,male,169.8,64.5,22.4,5日/週,180分以上,5,210,1050,45.0,19.5
60-69,female,164.3,75.9,28.1,3日/週,120〜180分,3,150,450,67.1,8.8
70,female,165.2,66.6,24.4,3日/週,120〜180分,3,150,450,57.2,9.5
40-49,male,176.1,80.6,26.0,1日/週,30〜60分,1,45,45,80.1,0.5
60-69,female,166.4,56.6,20.4,1日/週,30分未満,1,15,15,55.5,1.0
60-69,male,176.1,54.8,17.7,6日/週,30分未満,6,15,90,53.4,1.4
20-29,male,168.8,83.2,29.2,3日/週,180分以上,3,210,630,69.8,13.4
60-69,female,160.2,74.9,29.2,5日/週,30分未満,5,15,75,74.4,0.5
60-69,female,166.7,64.9,23.4,5日/週,180分以上,5,210,1050,45.0,19.9
50-59,male,164.2,64.7,24.0,3日/週,60〜120分,3,90,270,59.0,5.8
30-39,female,169.3,54.1,18.9,4日/週,60〜120分,4,90,360,48.0,6.0
30-39,male,175.0,64.5,21.0,6日/週,30〜60分,6,45,270,59.2,5.3
60-69,female,165.1,60.0,22.0,6日/週,60〜120分,6,90,540,49.3,10.7
30-39,male,165.6,77.4,28.2,6日/週,180分以上,6,210,1260,51.9,25.5
20-29,female,162.7,49.9,18.9,6日/週,60〜120分,6,90,540,45.0,4.9
20-29,male,173.7,56.7,18.8,3日/週,180分以上,3,210,630,45.0,11.7
30-39,male,175.3,70.1,22.8,4日/週,180分以上,4,210,840,53.8,16.3
50-59,female,164.0,73.2,27.2,5日/週,60〜120分,5,90,450,64.6,8.6
40-49,male,172.7,92.3,30.9,7日/週,30〜60分,7,45,315,86.3,6.0
60-69,female,159.1,53.9,21.3,運動なし,0分,0,0,0,54.3,-0.4
70,male,170.1,78.6,27.2,3日/週,60〜120分,3,90,270,73.9,4.7
60-69,male,171.0,71.7,24.5,7日/週,30〜60分,7,45,315,66.3,5.4
30-39,female,167.0,77.5,27.8,6日/週,30〜60分,6,45,270,72.2,5.4
50-59,male,173.5,81.9,27.2,5日/週,30分未満,5,15,75,81.1,0.7
30-39,female,163.3,52.8,19.8,1日/週,30〜60分,1,45,45,50.9,1.9
30-39,male,167.9,76.0,27.0,運動なし,0分,0,0,0,75.8,0.2
70,female,164.2,74.2,27.5,4日/週,60〜120分,4,90,360,68.0,6.2
50-59,male,178.8,53.9,16.8,1日/週,120〜180分,1,150,150,51.2,2.7
70,female,162.8,54.9,20.7,7日/週,180分以上,7,210,1470,45.0,9.9
20-29,female,165.5,59.8,21.8,7日/週,60〜120分,7,90,630,46.7,13.0
40-49,female,156.8,51.0,20.7,1日/週,30〜60分,1,45,45,49.1,1.9
70,male,161.7,71.4,27.3,1日/週,120〜180分,1,150,150,69.3,2.1
30-39,female,167.4,56.5,20.2,5日/週,120〜180分,5,150,750,45.0,11.5
60-69,male,175.7,73.0,23.7,6日/週,30〜60分,6,45,270,68.8,4.3
30-39,male,169.5,79.9,27.8,4日/週,30〜60分,4,45,180,75.9,4.0
50-59,female,161.1,56.8,21.9,6日/週,60〜120分,6,90,540,45.3,11.5
30-39,male,175.3,92.5,30.1,6日/週,60〜120分,6,90,540,81.7,10.9
20-29,female,161.7,65.3,25.0,1日/週,30〜60分,1,45,45,64.8,0.5
40-49,male,164.3,50.5,18.7,4日/週,60〜120分,4,90,360,45.0,5.5
70,male,173.2,70.4,23.5,運動なし,0分,0,0,0,71.0,-0.5
40-49,male,181.0,89.8,27.4,3日/週,30分未満,3,15,45,88.6,1.2
30-39,female,174.8,67.2,22.0,1日/週,120〜180分,1,150,150,62.8,4.4
60-69,female,170.6,70.1,24.1,2日/週,30分未満,2,15,30,69.6,0.5
70,female,160.8,68.6,26.5,運動なし,0分,0,0,0,68.9,-0.3
50-59,male,177.2,62.0,19.8,3日/週,120〜180分,3,150,450,53.5,8.5
60-69,male,176.5,59.9,19.2,7日/週,30〜60分,7,45,315,54.6,5.3
50-59,female,168.1,78.8,27.9,4日/週,120〜180分,4,150,600,67.2,11.6
30-39,male,176.3,73.3,23.6,3日/週,30分未満,3,15,45,73.0,0.2
40-49,male,172.8,59.7,20.0,5日/週,180分以上,5,210,1050,45.0,14.7
70,female,159.0,39.1,15.5,5日/週,180分以上,5,210,1050,45.0,-5.9
40-49,female,171.6,58.4,19.8,3日/週,60〜120分,3,90,270,53.0,5.4
30-39,female,162.0,64.2,24.5,5日/週,60〜120分,5,90,450,54.9,9.3
30-39,female,170.0,56.1,19.4,6日/週,30分未満,6,15,90,55.5,0.6
60-69,female,167.4,65.1,23.2,2日/週,180分以上,2,210,420,56.3,8.9
50-59,male,169.0,60.1,21.0,7日/週,120〜180分,7,150,1050,45.0,15.1
60-69,male,174.9,67.1,21.9,6日/週,120〜180分,6,150,900,49.5,17.6
50-59,female,161.2,61.6,23.7,5日/週,180分以上,5,210,1050,45.0,16.6
40-49,male,159.4,58.8,23.1,6日/週,60〜120分,6,90,540,48.2,10.6
60-69,female,152.5,57.7,24.8,6日/週,120〜180分,6,150,900,45.0,12.7
70,male,174.1,79.5,26.2,3日/週,60〜120分,3,90,270,74.7,4.8
50-59,female,180.6,58.7,18.0,5日/週,60〜120分,5,90,450,50.5,8.2
30-39,male,164.7,67.0,24.7,5日/週,120〜180分,5,150,750,52.1,14.9
50-59,male,158.7,70.7,28.1,6日/週,120〜180分,6,150,900,53.4,17.4
30-39,female,164.2,57.7,21.4,6日/週,30分未満,6,15,90,56.0,1.6
50-59,male,175.9,78.0,25.2,7日/週,30分未満,7,15,105,76.3,1.8
30-39,female,163.9,62.1,23.1,2日/週,30〜60分,2,45,90,59.4,2.7
20-29,female,161.4,51.3,19.7,5日/週,120〜180分,5,150,750,45.0,6.3
40-49,male,184.9,77.0,22.5,3日/週,30〜60分,3,45,135,74.6,2.4
30-39,male,180.1,79.2,24.4,5日/週,60〜120分,5,90,450,71.0,8.1
70,female,164.1,67.4,25.0,2日/週,120〜180分,2,150,300,61.2,6.1
70,female,162.8,65.2,24.6,5日/週,30分未満,5,15,75,64.8,0.5
50-59,female,171.1,40.9,14.0,2日/週,180分以上,2,210,420,45.0,-4.1
40-49,female,165.0,42.0,15.4,3日/週,30分未満,3,15,45,45.0,-3.0
60-69,female,169.9,54.2,18.8,3日/週,30〜60分,3,45,135,52.1,2.1
20-29,female,166.6,48.9,17.6,7日/週,120〜180分,7,150,1050,45.0,3.9
60-69,male,177.6,69.4,22.0,3日/週,30分未満,3,15,45,69.1,0.3
70,female,169.8,60.1,20.8,3日/週,180分以上,3,210,630,47.5,12.6
70,male,166.3,64.3,23.3,6日/週,60〜120分,6,90,540,54.3,10.0
60-69,male,176.9,67.1,21.4,2日/週,30〜60分,2,45,90,64.7,2.3
50-59,female,169.0,58.4,20.5,1日/週,180分以上,1,210,210,53.9,4.5
60-69,male,181.0,52.5,16.0,7日/週,180分以上,7,210,1470,45.0,7.5
50-59,female,167.2,69.4,24.8,5日/週,60〜120分,5,90,450,60.8,8.6
50-59,male,177.9,66.6,21.1,6日/週,30分未満,6,15,90,65.3,1.3
60-69,male,174.6,92.9,30.5,7日/週,120〜180分,7,150,1050,72.6,20.4
70,female,160.6,70.9,27.5,運動なし,0分,0,0,0,70.7,0.3
20-29,male,171.3,65.2,22.2,3日/週,180分以上,3,210,630,52.2,13.0
30-39,female,169.1,61.9,21.6,7日/週,60〜120分,7,90,630,48.9,12.9
40-49,female,169.4,53.0,18.5,1日/週,30分未満,1,15,15,52.3,0.8
60-69,male,172.0,77.9,26.3,6日/週,30〜60分,6,45,270,73.6,4.3
30-39,male,177.7,79.6,25.2,4日/週,120〜180分,4,150,600,67.9,11.8
70,male,174.4,77.5,25.5,5日/週,60〜120分,5,90,450,69.1,8.4
30-39,male,172.6,61.8,20.7,2日/週,30〜60分,2,45,90,59.5,2.3
60-69,male,166.1,80.2,29.1,2日/週,30分未満,2,15,30,79.6,0.6
40-49,male,175.7,57.8,18.7,3日/週,180分以上,3,210,630,47.2,10.6
30-39,female,169.5,41.4,14.4,2日/週,60〜120分,2,90,180,45.0,-3.6
40-49,male,175.1,66.2,21.6,1日/週,180分以上,1,210,210,61.1,5.1
30-39,male,176.4,58.3,18.7,7日/週,60〜120分,7,90,630,46.5,11.8
40-49,female,169.9,65.8,22.8,3日/週,60〜120分,3,90,270,60.6,5.3
30-39,male,171.4,59.0,20.1,6日/週,180分以上,6,210,1260,45.0,14.0
30-39,male,173.9,60.7,20.1,2日/週,120〜180分,2,150,300,55.0,5.7
60-69,male,172.8,78.7,26.3,5日/週,180分以上,5,210,1050,58.9,19.8
40-49,female,164.7,58.4,21.5,運動なし,0分,0,0,0,58.8,-0.4
60-69,female,162.2,60.8,23.1,7日/週,180分以上,7,210,1470,45.0,15.8
50-59,female,167.2,55.8,19.9,運動なし,0分,0,0,0,55.0,0.7
70,male,171.5,62.9,21.4,4日/週,120〜180分,4,150,600,50.7,12.2
40-49,male,173.5,76.6,25.5,5日/週,30分未満,5,15,75,75.5,1.1
70,male,175.4,68.6,22.3,7日/週,30〜60分,7,45,315,63.4,5.2
50-59,female,163.9,77.0,28.7,3日/週,120〜180分,3,150,450,68.0,9.1
70,male,176.9,79.5,25.4,6日/週,30〜60分,6,45,270,75.1,4.3
20-29,female,167.0,59.2,21.2,3日/週,120〜180分,3,150,450,49.9,9.3
20-29,female,160.1,53.9,21.0,3日/週,120〜180分,3,150,450,45.0,8.9
40-49,female,171.8,59.1,20.0,5日/週,30分未満,5,15,75,57.5,1.6
70,female,157.4,62.0,25.0,4日/週,30〜60分,4,45,180,59.3,2.7
60-69,female,161.7,49.7,19.0,運動なし,0分,0,0,0,50.1,-0.4
40-49,male,175.7,55.4,18.0,3日/週,120〜180分,3,150,450,46.5,8.9
60-69,male,169.6,70.0,24.3,4日/週,60〜120分,4,90,360,63.5,6.5
70,male,165.7,64.0,23.3,4日/週,30分未満,4,15,60,63.1,0.9
60-69,female,160.3,46.5,18.1,2日/週,120〜180分,2,150,300,45.0,1.5
30-39,male,163.7,75.6,28.2,2日/週,30分未満,2,15,30,74.3,1.3
50-59,male,176.1,64.6,20.8,運動なし,0分,0,0,0,64.6,-0.0
60-69,female,164.8,79.4,29.2,1日/週,60〜120分,1,90,90,77.2,2.2
60-69,male,176.6,53.4,17.1,4日/週,30〜60分,4,45,180,49.6,3.7
50-59,male,177.7,80.9,25.6,6日/週,30分未満,6,15,90,80.6,0.3
40-49,male,175.3,61.0,19.9,5日/週,180分以上,5,210,1050,45.0,16.0
50-59,female,174.3,60.9,20.0,5日/週,60〜120分,5,90,450,51.1,9.9
60-69,female,166.8,47.7,17.1,4日/週,120〜180分,4,150,600,45.0,2.7
30-39,female,172.0,80.9,27.3,2日/週,60〜120分,2,90,180,76.6,4.3
70,male,170.7,81.5,28.0,3日/週,180分以上,3,210,630,69.1,12.4
30-39,female,160.3,67.3,26.2,7日/週,60〜120分,7,90,630,54.9,12.3
30-39,male,170.2,79.6,27.5,1日/週,30〜60分,1,45,45,78.1,1.5
20-29,male,165.7,72.8,26.5,2日/週,120〜180分,2,150,300,66.5,6.3
20-29,female,168.6,61.8,21.8,7日/週,120〜180分,7,150,1050,45.0,16.8
70,female,170.7,63.7,21.9,運動なし,0分,0,0,0,62.9,0.8
20-29,female,170.5,59.6,20.5,3日/週,30〜60分,3,45,135,56.8,2.9
60-69,female,166.5,62.6,22.6,4日/週,60〜120分,4,90,360,55.5,7.0
60-69,female,169.2,58.7,20.5,6日/週,120〜180分,6,150,900,45.0,13.7
60-69,female,163.6,77.3,28.9,7日/週,30〜60分,7,45,315,70.7,6.6
30-39,female,171.7,63.9,21.7,6日/週,30〜60分,6,45,270,58.2,5.7
30-39,male,165.4,76.4,27.9,5日/週,120〜180分,5,150,750,62.3,14.1
20-29,male,167.1,73.8,26.4,2日/週,180分以上,2,210,420,65.3,8.5
60-69,male,170.5,57.3,19.7,2日/週,30〜60分,2,45,90,55.6,1.7
60-69,female,163.1,65.3,24.6,1日/週,120〜180分,1,150,150,63.4,1.9
50-59,female,165.5,62.5,22.8,2日/週,120〜180分,2,150,300,56.3,6.3
50-59,female,158.5,60.6,24.1,2日/週,30分未満,2,15,30,59.9,0.8
60-69,female,163.2,55.3,20.8,運動なし,0分,0,0,0,55.5,-0.2
50-59,male,175.0,75.9,24.8,2日/週,30分未満,2,15,30,75.1,0.8
60-69,female,160.1,56.4,22.0,1日/週,60〜120分,1,90,90,54.0,2.4
50-59,male,176.9,62.1,19.9,6日/週,180分以上,6,210,1260,45.0,17.1
30-39,female,164.8,63.6,23.4,2日/週,60〜120分,2,90,180,59.4,4.2
60-69,female,154.1,64.4,27.1,3日/週,30〜60分,3,45,135,62.0,2.5
60-69,male,173.1,56.4,18.8,2日/週,30〜60分,2,45,90,54.6,1.9
30-39,female,169.5,63.8,22.2,5日/週,60〜120分,5,90,450,53.1,10.6
50-59,female,157.7,59.1,23.8,運動なし,0分,0,0,0,58.5,0.7
30-39,female,162.5,44.1,16.7,3日/週,60〜120分,3,90,270,45.0,-0.9
30-39,female,158.8,52.9,21.0,7日/週,120〜180分,7,150,1050,45.0,7.9
50-59,female,170.0,57.2,19.8,2日/週,60〜120分,2,90,180,53.3,3.9
50-59,male,162.7,70.6,26.7,5日/週,30〜60分,5,45,225,67.2,3.4
40-49,female,171.0,52.1,17.8,1日/週,30分未満,1,15,15,51.1,1.0
20-29,male,169.5,77.1,26.8,2日/週,180分以上,2,210,420,69.0,8.1
60-69,female,160.6,61.5,23.8,1日/週,30分未満,1,15,15,61.6,-0.1
50-59,male,170.3,74.6,25.7,1日/週,180分以上,1,210,210,70.7,3.9
20-29,male,174.6,50.0,16.4,4日/週,30分未満,4,15,60,49.0,0.9
60-69,male,171.2,68.2,23.3,運動なし,0分,0,0,0,69.2,-0.9
30-39,male,166.7,83.2,29.9,1日/週,120〜180分,1,150,150,80.4,2.8
40-49,female,163.0,61.5,23.1,運動なし,0分,0,0,0,61.8,-0.3
40-49,male,166.9,66.1,23.7,3日/週,30〜60分,3,45,135,63.7,2.4
70,male,184.0,67.5,19.9,7日/週,60〜120分,7,90,630,55.1,12.5
50-59,female,160.9,38.3,14.8,1日/週,30分未満,1,15,15,45.0,-6.7
40-49,male,176.0,72.5,23.4,5日/週,30分未満,5,15,75,70.6,1.9
60-69,male,181.1,76.4,23.3,7日/週,30〜60分,7,45,315,71.4,5.0
50-59,female,163.9,61.8,23.0,7日/週,120〜180分,7,150,1050,45.0,16.8
60-69,male,165.2,81.4,29.8,5日/週,30〜60分,5,45,225,77.2,4.2
70,female,168.0,64.4,22.8,6日/週,30〜60分,6,45,270,59.0,5.4
30-39,female,169.1,54.7,19.1,運動なし,0分,0,0,0,54.5,0.2
50-59,female,166.4,44.4,16.0,7日/週,30〜60分,7,45,315,45.0,-0.6
70,male,167.6,74.9,26.7,5日/週,60〜120分,5,90,450,66.7,8.3
30-39,male,174.4,63.5,20.9,6日/週,30分未満,6,15,90,61.8,1.7
50-59,male,170.0,65.8,22.8,2日/週,30〜60分,2,45,90,63.8,2.1
70,female,158.4,57.4,22.9,運動なし,0分,0,0,0,57.2,0.2
20-29,female,173.6,48.3,16.0,2日/週,30分未満,2,15,30,47.2,1.1
20-29,male,164.0,64.0,23.8,1日/週,30〜60分,1,45,45,63.4,0.5
70,male,172.2,66.4,22.4,3日/週,30分未満,3,15,45,65.9,0.5
70,male,170.5,81.7,28.1,6日/週,30分未満,6,15,90,80.5,1.2
30-39,female,168.6,52.5,18.5,4日/週,120〜180分,4,150,600,45.0,7.5
50-59,female,176.7,64.0,20.5,5日/週,60〜120分,5,90,450,54.9,9.1
20-29,male,175.0,66.6,21.7,3日/週,180分以上,3,210,630,53.8,12.7
40-49,female,168.2,77.2,27.3,運動なし,0分,0,0,0,78.0,-0.7
40-49,female,162.5,49.6,18.8,6日/週,30分未満,6,15,90,48.3,1.3
70,female,163.8,68.0,25.4,6日/週,120〜180分,6,150,900,51.0,17.0
30-39,male,175.8,72.5,23.5,4日/週,30〜60分,4,45,180,69.1,3.5
50-59,male,170.2,88.1,30.4,2日/週,30〜60分,2,45,90,86.5,1.6
20-29,male,169.7,51.4,17.8,3日/週,180分以上,3,210,630,45.0,6.4
60-69,male,178.0,56.8,17.9,運動なし,0分,0,0,0,56.9,-0.1
40-49,female,164.1,51.7,19.2,運動なし,0分,0,0,0,51.3,0.4
30-39,male,167.5,72.3,25.8,4日/週,120〜180分,4,150,600,60.8,11.5
60-69,female,162.4,60.1,22.8,運動なし,0分,0,0,0,59.7,0.4
20-29,male,174.8,62.6,20.5,3日/週,30分未満,3,15,45,60.9,1.7
20-29,female,165.9,47.6,17.3,1日/週,180分以上,1,210,210,45.0,2.6
20-29,female,176.1,43.3,14.0,6日/週,60〜120分,6,90,540,45.0,-1.7
50-59,female,160.5,52.0,20.2,5日/週,180分以上,5,210,1050,45.0,7.0
70,female,174.4,71.6,23.5,6日/週,30〜60分,6,45,270,65.6,6.0
40-49,female,167.2,59.0,21.1,4日/週,120〜180分,4,150,600,47.3,11.7
70,female,161.3,57.7,22.2,6日/週,180分以上,6,210,1260,45.0,12.7
30-39,female,157.5,75.1,30.3,6日/週,120〜180分,6,150,900,55.4,19.7
70,female,164.9,50.4,18.5,7日/週,120〜180分,7,150,1050,45.0,5.4
70,female,164.0,53.8,20.0,1日/週,180分以上,1,210,210,49.4,4.4
30-39,male,178.1,72.3,22.8,3日/週,30分未満,3,15,45,71.3,1.0
40-49,male,165.7,73.8,26.9,2日/週,30分未満,2,15,30,73.6,0.2
70,male,176.5,85.4,27.4,運動なし,0分,0,0,0,86.1,-0.6
20-29,female,172.0,57.0,19.3,3日/週,60〜120分,3,90,270,52.0,5.0
60-69,male,167.3,80.4,28.7,4日/週,30分未満,4,15,60,79.7,0.6
30-39,female,162.9,60.3,22.7,運動なし,0分,0,0,0,59.8,0.5
50-59,female,170.8,70.2,24.1,6日/週,120〜180分,6,150,900,52.1,18.1
70,female,164.3,48.8,18.1,6日/週,60〜120分,6,90,540,45.0,3.8
40-49,male,174.5,66.2,21.7,6日/週,60〜120分,6,90,540,56.3,9.9
40-49,female,170.1,52.3,18.1,7日/週,30分未満,7,15,105,50.3,1.9
40-49,female,173.0,67.7,22.6,2日/週,180分以上,2,210,420,58.5,9.2
70,male,173.0,67.2,22.4,3日/週,120〜180分,3,150,450,58.6,8.6
60-69,female,166.0,49.2,17.8,1日/週,180分以上,1,210,210,45.0,4.2
